Season,Competition,Matchday,Date,Venue,For,Opponent,Result,Position,Minute,At_score,Type_of_goal,Goal_assist
,Season 2017,,,,,,,,,,,
,,Liga Profesional (- 23/24),10,20/11/16,A,,(5.),,Huracán(25.),1:1,CF,38'
,,Liga Profesional (- 23/24),15,12/03/17,H,,(10.),,Lanús(6.),3:0,CF,2'
,,Liga Profesional (- 23/24),18,01/04/17,A,,(8.),,Quilmes(23.),2:3,CF,60'
,,Liga Profesional (- 23/24),20,16/04/17,A,,(6.),,Sarmiento Junin(24.),1:2,CF,56'
,69'0:2Left-footed shotMarcos Acuña,69',0:2,Left-footed shot,Marcos Acuña,,,,,,,
,,Liga Profesional (- 23/24),19,20/04/17,H,,(6.),,Tigre(18.),4:1,CF,62'
,,Liga Profesional (- 23/24),23,06/05/17,H,,(7.),,Gimnasia(11.),1:0,CF,35'
,,Liga Profesional (- 23/24),27,06/06/17,H,,(8.),,Aldosivi(26.),1:1,CF,32'
,,Liga Profesional (- 23/24),28,18/06/17,A,,(8.),,River Plate(2.),2:3,CF,16'
,Season 2018,,,,,,,,,,,
,,Liga Profesional (- 23/24),7,28/10/17,A,,(18.),,Atl. Tucumán(19.),3:1,CF,45'+3
,,Liga Profesional (- 23/24),9,19/11/17,A,,(20.),,Boca Juniors(1.),1:2,CF,37'
,,Liga Profesional (- 23/24),11,03/12/17,A,,(18.),,Newell's(17.),2:2,CF,20'
,,Liga Profesional (- 23/24),12,10/12/17,H,,(18.),,Gimnasia(19.),3:1,CF,90'+2
,,Liga Profesional (- 23/24),14,05/02/18,H,,(18.),,Huracán(5.),4:0,CF,11'
,45'3:0Left-footed shot,45',3:0,Left-footed shot,,,,,,,,
,77'4:0Right-footed shotRicardo Centurión,77',4:0,Right-footed shot,Ricardo Centurión,,,,,,,
,,Libertadores,Gruppenphase,28/02/18,H,,,Cruzeiro,4:2,CF,14',1:0
,45'2:1Right-footed shotNery Domínguez,45',2:1,Right-footed shot,Nery Domínguez,,,,,,,
,63'3:1HeaderRicardo Centurión,63',3:1,Header,Ricardo Centurión,,,,,,,
,,Liga Profesional (- 23/24),18,05/03/18,H,,(5.),,Vélez Sarsfield(19.),2:1,CF,5'
,,Liga Profesional (- 23/24),19,10/03/18,A,,(5.),,Chacarita Jrs.(26.),1:1,CF,16'
,,Liga Profesional (- 23/24),20,18/03/18,H,,(6.),,Patronato(17.),5:0,CF,90'
,,Libertadores,Gruppenphase,20/04/18,H,,,Vasco da Gama,4:0,CF,39',2:0
,,Liga Profesional (- 23/24),24,22/04/18,A,,(7.),,Rosario Central(16.),0:2,CF,76'
,,Libertadores,Gruppenphase,27/04/18,A,,,Vasco da Gama,1:1,CF,32',0:1
,,Liga Profesional (- 23/24),26,07/05/18,A,,(7.),,Estudiantes LP(14.),1:2,CF,17'
,,Liga Profesional (- 23/24),25,09/05/18,H,,(7.),,Arsenal Sarandí(27.),2:0,CF,87'
,Season 18/19,,,,,,,,,,,
,,Serie A,7,29/09/18,H,,(5.),,Cagliari(14.),2:0,CF,12'
,,Serie A,13,24/11/18,H,,(3.),,Frosinone(19.),3:0,CF,57'
,,Serie A,18,26/12/18,H,,(3.),,Napoli(2.),1:0,CF,90'+1
,,Italy Cup,Achtelfinale,13/01/19,H,,,Benevento,6:2,SS,48',4:0
,66'5:1Right-footed shotIvan Perišić,66',5:1,Right-footed shot,Ivan Perišić,,,,,,,
,,Serie A,23,09/02/19,A,,(3.),,Parma(12.),0:1,CF,79'
,,Europa League,Zwischenrunde,14/02/19,A,,,Rapid Vienna,0:1,CF,39',0:1
,,Serie A,26,01/03/19,A,,(3.),,Cagliari(14.),2:1,CF,38'
,,Serie A,28,17/03/19,A,,(4.),,AC Milan(3.),2:3,CF,68'
,Season 19/20,,,,,,,,,,,
,,Serie A,2,01/09/19,A,,(1.),,Cagliari(16.),1:2,SS,27'
,,Champions League,Gruppenphase,02/10/19,A,,,Barcelona,2:1,CF,3',0:1
,,Serie A,7,06/10/19,H,,(1.),,Juventus(2.),1:2,SS,18'
,,Serie A,8,20/10/19,A,,(2.),,Sassuolo(14.),3:4,CF,2'
,71'1:4Penalty,71',1:4,Penalty,,,,,,,,
,,Champions League,Gruppenphase,23/10/19,H,,,Dortmund,2:0,SS,22',1:0
,,Serie A,10,29/10/19,A,,(2.),,Brescia(18.),1:2,CF,23'
,,Champions League,Gruppenphase,05/11/19,A,,,Dortmund,3:2,CF,5',0:1
,,Serie A,13,23/11/19,A,,(2.),,Torino(13.),0:3,SS,12'
,,Champions League,Gruppenphase,27/11/19,A,,,Slavia Praha,1:3,SS,19',0:1
,88'1:3Right-footed shotRomelu Lukaku,88',1:3,Right-footed shot,Romelu Lukaku,,,,,,,
,,Serie A,14,01/12/19,H,,(2.),,SPAL(19.),2:1,CF,16'
,41'2:0HeaderAntonio Candreva,41',2:0,Header,Antonio Candreva,,,,,,,
,,Serie A,18,06/01/20,A,,(2.),,Napoli(8.),1:3,CF,62'
,,Serie A,19,11/01/20,H,,(2.),,Atalanta(5.),1:1,SS,4'
,,Serie A,21,26/01/20,H,,(2.),,Cagliari(6.),1:1,CF,29'
,,Serie A,25,21/06/20,H,,(3.),,Sampdoria(17.),2:1,CF,33'
,,Serie A,32,13/07/20,H,,(4.),,Torino(15.),3:1,CF,61'
,,Serie A,37,28/07/20,H,,(2.),,Napoli(7.),2:0,CF,74'
,,Europa League,Halbfinale,17/08/20,H,,,Shakhtar D.,5:0,SS,19',1:0
,74'3:0Right-footed shotRomelu Lukaku,74',3:0,Right-footed shot,Romelu Lukaku,,,,,,,
,Season 20/21,,,,,,,,,,,
,,Serie A,2,26/09/20,H,,(1.),,Fiorentina(9.),4:3,CF,45'+2
,,Serie A,1,30/09/20,A,,(1.),,Benevento(18.),2:5,CF,71'
,,Serie A,3,04/10/20,A,,(3.),,Lazio(10.),1:1,CF,30'
,,Champions League,Gruppenphase,03/11/20,A,,,Real Madrid,3:2,CF,35',2:1
,,Serie A,7,08/11/20,A,,(7.),,Atalanta(5.),1:1,CF,58'
,,Serie A,8,22/11/20,H,,(7.),,Torino(17.),4:2,SS,90'
,,Serie A,14,23/12/20,A,,(2.),,Hellas Verona(9.),1:2,SS,51'
,,Serie A,15,03/01/21,H,,(2.),,Crotone(19.),6:2,CF,20'
,57'3:2Left-footed shotMarcelo Brozović,57',3:2,Left-footed shot,Marcelo Brozović,,,,,,,
,78'5:2Header,78',5:2,Header,,,,,,,,
,,Serie A,20,30/01/21,H,,(2.),,Benevento(11.),4:0,CF,57'
,,Italy Cup,Halbfinale,02/02/21,H,,,Juventus,1:2,CF,9',1:0
,,Serie A,22,14/02/21,H,,(2.),,Lazio(4.),3:1,CF,64'
,,Serie A,23,21/02/21,A,,(1.),,AC Milan(2.),0:3,CF,5'
,57'0:2Left-footed shotIvan Perišić,57',0:2,Left-footed shot,Ivan Perišić,,,,,,,
,,Serie A,27,14/03/21,A,,(1.),,Torino(17.),1:2,SS,85'
,,Serie A,28,07/04/21,H,,(1.),,Sassuolo(8.),2:1,SS,67'
,,Serie A,35,08/05/21,H,,(1.),,Sampdoria(9.),5:1,CF,70'
,,Serie A,38,23/05/21,H,,(1.),,Udinese(12.),5:1,CF,55'
,Season 21/22,,,,,,,,,,,
,,Serie A,2,27/08/21,A,,(1.),,Hellas Verona(13.),1:3,CF,47'
,,Serie A,3,12/09/21,A,,(2.),,Sampdoria(15.),2:2,CF,44'
,,Serie A,4,18/09/21,H,,(4.),,Bologna(6.),6:1,CF,6'
,,Serie A,6,25/09/21,H,,(2.),,Atalanta(5.),2:2,CF,5'
,,Serie A,7,02/10/21,A,,(3.),,Sassuolo(12.),1:2,CF,78'
,,Serie A,13,21/11/21,H,,(3.),,Napoli(1.),3:2,CF,61'
,,Serie A,14,27/11/21,A,,(3.),,Venezia(14.),0:2,CF,90'+5
,,Serie A,15,01/12/21,H,,(3.),,Spezia Calcio(17.),2:0,CF,58'
,,Serie A,17,12/12/21,H,,(2.),,Cagliari(19.),4:0,CF,29'
,68'4:0Right-footed shotNicolò Barella,68',4:0,Right-footed shot,Nicolò Barella,,,,,,,
,,Serie A,18,17/12/21,A,,(1.),,Salernitana(20.),0:5,CF,77'
,,Supercoppa Italiana,Finale,12/01/22,H,,,Juventus,2:1AET,CF,35',1:1
,,Serie A,28,04/03/22,H,,(3.),,Salernitana(19.),5:0,CF,22'
,40'2:0Left-footed shotNicolò Barella,40',2:0,Left-footed shot,Nicolò Barella,,,,,,,
,56'3:0Right-footed shotEdin Džeko,56',3:0,Right-footed shot,Edin Džeko,,,,,,,
,,Champions League,Achtelfinale,08/03/22,A,,,Liverpool,0:1,CF,62',0:1
,,Serie A,33,15/04/22,A,,(2.),,Spezia Calcio(15.),1:3,CF,73'
,,Italy Cup,Halbfinale,19/04/22,H,,,AC Milan,3:0,CF,4',1:0
,40'2:0Right-footed shotJoaquín Correa,40',2:0,Right-footed shot,Joaquín Correa,,,,,,,
,,Serie A,34,23/04/22,H,,(2.),,Roma(5.),3:1,CF,52'
,,Serie A,35,01/05/22,A,,(2.),,Udinese(12.),1:2,CF,39'
,,Serie A,36,06/05/22,H,,(2.),,FC Empoli(14.),4:2,CF,45'
,64'3:2Right-footed shot,64',3:2,Right-footed shot,,,,,,,,
,,Serie A,37,15/05/22,A,,(2.),,Cagliari(18.),1:3,CF,51'
,84'1:3Left-footed shotRoberto Gagliardini,84',1:3,Left-footed shot,Roberto Gagliardini,,,,,,,
,Season 22/23,,,,,,,,,,,
,,Serie A,2,20/08/22,H,,(5.),,Spezia Calcio(9.),3:0,CF,35'
,,Serie A,3,26/08/22,A,,(2.),,Lazio(6.),3:1,CF,51'
,,Serie A,4,30/08/22,H,,(7.),,Cremonese(18.),3:1,CF,76'
,,Champions League,Gruppenphase,12/10/22,A,,,Barcelona,3:3,CF,63',1:2
,,Serie A,10,16/10/22,H,,(7.),,Salernitana(10.),2:0,CF,14'
,,Serie A,11,22/10/22,A,,(7.),,Fiorentina(12.),3:4,CF,15'
,73'2:3Penalty,73',2:3,Penalty,,,,,,,,
,,Serie A,14,09/11/22,H,,(6.),,Bologna(10.),6:1,CF,42'
,,Serie A,17,07/01/23,A,,(3.),,Monza(14.),2:2,CF,22'
,,Italy Cup,Achtelfinale,10/01/23,H,,,Parma,2:1AET,CF,88',1:1
,,Serie A,18,14/01/23,H,,(3.),,Hellas Verona(18.),1:0,CF,3'
,,Supercoppa Italiana,Finale,18/01/23,A,,,AC Milan,0:3,CF,77',0:3
,,Serie A,20,28/01/23,A,,(5.),,Cremonese(20.),1:2,CF,21'
,65'1:2Right-footed shotEdin Džeko,65',1:2,Right-footed shot,Edin Džeko,,,,,,,
,,Serie A,21,05/02/23,H,,(2.),,AC Milan(5.),1:0,CF,34'
,,Serie A,23,18/02/23,H,,(2.),,Udinese(9.),3:1,CF,89'
,,Serie A,25,05/03/23,H,,(2.),,Lecce(15.),2:0,CF,53'
,,Champions League,Viertelfinale,19/04/23,H,,,Benfica,3:3,CF,65',2:1
,,Serie A,31,23/04/23,A,,(5.),,FC Empoli(14.),0:3,CF,88'
,,Serie A,32,30/04/23,H,,(5.),,Lazio(2.),3:1,CF,78'
,90'3:1Tap-in,90',3:1,Tap-in,,,,,,,,
,,Serie A,33,03/05/23,A,,(5.),,Hellas Verona(18.),0:6,CF,56'
,90'+20:6Tap-in,90'+2,0:6,Tap-in,,,,,,,,
,,Serie A,35,13/05/23,H,,(3.),,Sassuolo(13.),4:2,CF,58'
,,Champions League,Halbfinale,16/05/23,H,,,AC Milan,1:0,CF,74',1:0
,,Italy Cup,Finale,24/05/23,A,,,Fiorentina,1:2,CF,29',1:1
,37'1:2Right-footed shotNicolò Barella,37',1:2,Right-footed shot,Nicolò Barella,,,,,,,
,,Serie A,37,27/05/23,H,,(3.),,Atalanta(5.),3:2,CF,77'
,Season 23/24,,,,,,,,,,,
,,Serie A,1,19/08/23,H,,(1.),,Monza(12.),2:0,CF,8'
,76'2:0Right-footed shotMarko Arnautovic,76',2:0,Right-footed shot,Marko Arnautovic,,,,,,,
,,Serie A,2,28/08/23,A,,(4.),,Cagliari(12.),0:2,CF,30'
,,Serie A,3,03/09/23,H,,(3.),,Fiorentina(5.),4:0,CF,53'
,73'4:0Right-footed shotJuan Cuadrado,73',4:0,Right-footed shot,Juan Cuadrado,,,,,,,
,,Champions League,Gruppenphase,20/09/23,A,,,Real Sociedad,1:1,CF,87',1:1
,,Serie A,7,30/09/23,A,,(1.),,Salernitana(19.),0:4,CF,62'
,77'0:2Right-footed shotNicolò Barella,77',0:2,Right-footed shot,Nicolò Barella,,,,,,,
,85'0:3Penalty,85',0:3,Penalty,,,,,,,,
,89'0:4Left-footed shotCarlos Augusto,89',0:4,Left-footed shot,Carlos Augusto,,,,,,,
,,Serie A,8,07/10/23,H,,(1.),,Bologna(8.),2:2,CF,13'
,,Serie A,9,21/10/23,A,,(2.),,Torino(14.),0:3,CF,67'
,,Serie A,11,04/11/23,A,,(1.),,Atalanta(4.),1:2,CF,57'
,,Champions League,Gruppenphase,08/11/23,A,,,Salzburg,0:1,CF,85',0:1
,,Serie A,13,26/11/23,A,,(1.),,Juventus(2.),1:1,SS,33'
,,Serie A,15,09/12/23,H,,(1.),,Udinese(16.),4:0,CF,84'
,,Serie A,16,17/12/23,A,,(1.),,Lazio(10.),0:2,CF,40'
,,Serie A,19,06/01/24,H,,(1.),,Hellas Verona(17.),2:1,CF,13'
,,Serie A,20,13/01/24,A,,(1.),,Monza(11.),1:5,CF,14'
,84'1:4Penalty,84',1:4,Penalty,,,,,,,,
,,Supercoppa Italiana,Finale,22/01/24,A,,,Napoli,0:1,CF,90'+1,0:1
,,Serie A,22,28/01/24,A,,(1.),,Fiorentina(6.),0:1,CF,14'
,,Serie A,25,16/02/24,H,,(1.),,Salernitana(20.),4:0,SS,19'
,,Serie A,26,25/02/24,A,,(1.),,Lecce(13.),0:4,CF,15'
,56'0:3Left-footed shotDavide Frattesi,56',0:3,Left-footed shot,Davide Frattesi,,,,,,,
,,Serie A,21,28/02/24,H,,(1.),,Atalanta(6.),4:0,SS,45'+1
,,Serie A,36,10/05/24,A,,(1.),,Frosinone(16.),0:5,CF,80'
,Season 24/25,,,,,,,,,,,
,,Serie A,6,28/09/24,A,,(6.),,Udinese(3.),2:3,CF,45'+3
,47'1:3Right-footed shotMarcus Thuram,47',1:3,Right-footed shot,Marcus Thuram,,,,,,,
,,Champions League,Gruppenphase,01/10/24,H,,,Red Star,4:0,CF,71',3:0
,,Serie A,8,20/10/24,A,,(2.),,Roma(9.),0:1,CF,60'
,,Serie A,10,30/10/24,A,,(2.),,FC Empoli(11.),0:3,CF,79'
,,Serie A,11,03/11/24,H,,(2.),,Venezia(18.),1:0,CF,65'
,,Serie A,18,28/12/24,A,,(3.),,Cagliari(18.),0:3,CF,71'
,,Supercoppa Italiana,Finale,06/01/25,H,,,AC Milan,2:3,CF,45'+1,1:0
,,Serie A,19,15/01/25,H,,(3.),,Bologna(7.),2:2,CF,45'+1
,,Serie A,21,19/01/25,H,,(2.),,FC Empoli(14.),3:1,CF,55'
,,Champions League,Gruppenphase,22/01/25,A,,,Sparta Prague,0:1,SS,12',0:1
,,Serie A,22,26/01/25,A,,(2.),,Lecce(17.),0:4,CF,39'
,,Champions League,Gruppenphase,29/01/25,H,,,Monaco,3:0,SS,4',1:0
,16'2:0Right-footed shotNicolò Barella,16',2:0,Right-footed shot,Nicolò Barella,,,,,,,
,67'3:0Left-footed shot,67',3:0,Left-footed shot,,,,,,,,
,,Serie A,26,22/02/25,H,,(2.),,Genoa(11.),1:0,CF,78'
,,Champions League,Achtelfinale,05/03/25,A,,,Feyenoord,0:2,SS,50',0:2
,,Serie A,29,16/03/25,A,,(1.),,Atalanta(3.),0:2,SS,87'
,,Champions League,Viertelfinale,08/04/25,A,,,Bayern Munich,1:2,SS,38',0:1
,,Serie A,32,12/04/25,H,,(1.),,Cagliari(15.),3:1,CF,26'
,,Champions League,Viertelfinale,16/04/25,H,,,Bayern Munich,2:2,SS,58',1:1
,,Champions League,Halbfinale,06/05/25,H,,,Barcelona,4:3AET,SS,21',1:0
,,Club World Cup,Gruppenphase,18/06/25,A,,,Monterrey,1:1,CF,42',1:1
,,Club World Cup,Gruppenphase,21/06/25,H,,,Urawa Reds,2:1,CF,78',1:1
,Season 25/26,,,,,,,,,,,
,,Serie A,1,25/08/25,H,,(1.),,Torino(12.),5:0,CF,52'
,,Serie A,5,27/09/25,A,,(10.),,Cagliari(8.),0:2,CF,9'
,,Champions League,Gruppenphase,30/09/25,H,,,Slavia Praha,3:0,CF,30',1:0
,65'3:0Left-footed shotAlessandro Bastoni,65',3:0,Left-footed shot,Alessandro Bastoni,,,,,,,
,,Serie A,6,04/10/25,H,,(5.),,Cremonese(7.),4:1,CF,6'
,,Champions League,Gruppenphase,21/10/25,A,,,Union SG,0:4,CF,45'+1,0:2
,,Champions League,Gruppenphase,05/11/25,H,,,Kairat Almaty,2:1,CF,45',1:0
,,Serie A,11,09/11/25,H,,(2.),,Lazio(8.),2:0,CF,3'
